Asx D/L,Glx D/L,Ser D/L,Arg D/L,Ala D/L,Tyr D/L,Val D/L,Phe D/L,Leu D/L,Ile D/L,[Ser]/[Ala],Total,,Bleached,Type
0.369345312,0.219057562,0.436371312,0.395290983,0.276195645,#DIV/0!,0.177433419,0.330488541,0.350628528,0.222694822,0.437436165,3200.580368,FAS 91 A,b,H
0.333170763,0.206857731,0.400587553,0.345367037,0.322596017,0,0.165598494,0.334020556,0.309373502,0.240210542,0.593083565,3889.958088,FAS 122 A,b,H
0.33271776,0.209738892,0.402716772,0.337110893,0.294982428,0,0.164794276,0.335749009,0.316364096,0.235857883,0.581332109,3866.287876,FAS 122 A,b,H
0.349413638,0.347087327,0.35063309,0.38007876,0.452280779,#DIV/0!,0.298345274,0.449915058,0.418248542,0.329500616,0.162795969,3640.934764,FAS 174 A,b,H
0.348580399,0.348010527,0.363162341,0.370754747,0.424589011,#DIV/0!,0.302215438,0.437838336,0.429505046,0.321203304,0.15794151,3630.8228,FAS 174 A,b,H
0.267337031,0.203117365,0.366350613,0.327312421,0.3214512,#DIV/0!,0.186592108,0.336262423,0.34473469,0.251973744,0.66698654,3560.986926,FAN 156 A,b,H
0.266343794,0.205334214,0.366422477,0.320771061,0.308608669,0,0.18864874,0.332069498,0.353279457,0.267784431,0.614399153,3503.932697,FAN 156 A,b,H
0.314765535,0.179114052,0.42144438,0.357669451,0.262566117,#DIV/0!,0.117554652,0.236271297,0.233889218,0.15608938,0.676893653,3293.887759,FAN 131 D,b,H
0.316085475,0.178367951,0.435227506,0.347516394,0.242094312,#DIV/0!,0.116518113,0.235314828,0.255337993,0.164115085,0.585860599,3262.571368,FAN 131 D,b,H
0.370213773,0.217382027,0.492519705,0.412336376,0.362395812,#DIV/0!,0.185651646,0.33522951,0.33849924,0.233490403,0.557372269,3184.152431,FAN 174 A,b,H
0.371859281,0.217980399,0.495034939,0.408995507,0.336087544,#DIV/0!,0.195844955,0.34689537,0.350706076,0.241779456,0.539883453,3185.513522,FAN 174 A,b,H
0.29927406,0.215533408,0.425647432,0.375415324,0.337525129,0.380429975,0.178188954,0.341172069,0.331213013,0.259001286,0.603163692,3230.973486,FAN 124 B,b,H
0.300554195,0.213864596,0.430742733,0.350774772,0.30870242,0.340989453,0.182196176,0.347047694,0.350983635,0.266323793,0.557039764,3173.131846,FAN 124 B,b,H
0.29480016,0.23531562,0.4168843,0.358526803,0.362189276,#DIV/0!,0.198243964,0.36579863,0.354133969,0.27220135,0.591751466,3091.068657,FAN 123 A,b,H
0.295536878,0.234903143,0.429366444,0.348493007,0.347717149,#DIV/0!,0.201033045,0.357800179,0.358402459,0.277047319,0.552701182,2988.288701,FAN 123 A,b,H
0.250985618,0.19128628,0.361738978,0.335606747,0.315795911,#DIV/0!,0.178710602,0.302440137,0.325212273,0.234879773,0.655223313,3366.228068,FAN 162 B,b,H
0.252219962,0.191420584,0.36229614,0.319187433,0.302196794,#DIV/0!,0.17210502,0.309958617,0.337961373,0.243738277,0.633947561,3354.101524,FAN 162 B,b,H
0.296349346,0.252970934,0.431107123,0.374976912,0.37803433,0.320336057,0.228983326,0.412709104,0.41091817,0.335929091,0.557617306,3201.995534,FAN 127 D,b,H
0.297024739,0.252788472,0.431517799,0.354307595,0.364153933,0,0.220887634,0.397840281,0.421873074,0.333693026,0.542096427,3205.263871,FAN 127 D,b,H
0.340321168,0.20237319,0.49120632,0.413252749,0.296685864,0.256565939,0.176178854,0.317050959,0.305866637,0.209943497,0.529981988,4737.879206,FAN 175 C,b,H
0.341113914,0.203188513,0.490546106,0.39843831,0.301654945,0,0.174990378,0.316219285,0.312264013,0.216893709,0.511106588,4564.338325,FAN 175 C,b,H
0.277761722,0.19104097,0.380664949,0.321092673,0.305169959,#DIV/0!,0.190225952,0.349498614,0.306248553,0.248256415,0.641876993,3909.985561,FAN 134 C,b,H
0.278226535,0.190566766,0.378616672,0.311926068,0.296840056,#DIV/0!,0.191958469,0.347836702,0.310278484,0.241767594,0.620204605,3883.552023,FAN 134 C,b,H
0.279524434,0.168634902,0.235713919,0.235352246,0.285043154,0,0.154117275,0.256655403,0.248347777,0.205856981,0.7877334,3686.848787,FAN 148 A,b,H
0.277937491,0.170117193,0.242358226,0.218727709,0.306059555,0,0.155489289,0.259746637,0.269682284,0.214827899,0.802438637,3816.577734,FAN 148 A,b,H
0.325460939,0.197312962,0.406892389,0.332267083,0.29502444,#DIV/0!,0.141867696,0.297753335,0.268628157,0.168058417,0.631103515,3859.722992,FAN 144 A,b,H
0.323454058,0.198490213,0.411603263,0.319867309,0.22993429,0,0.151043207,0.299074101,0.331671535,0.185496551,0.503444723,3751.23036,FAN 144 A,b,H
0.331379014,0.231850028,0.44941148,0.377000587,0.3394418,#DIV/0!,0.190495837,0.350077936,0.383946338,0.246858487,0.473699683,2767.12311,FAS 156d C,b,H
0.368952178,0.224838643,0.454004248,0.516810126,0.35015842,#DIV/0!,0.177188066,0.344593026,0.31817463,0.205716114,0.539762308,3804.049971,FAS 128 A,b,H
0.661290463,0.445292452,1.008722935,0.95913237,0.675783022,0,0.506774272,0.6689226,0.664571802,0.69708549,0.456948722,717.2650686,FAS 151 A,b,F
0.66054541,0.451659162,1.013371139,0.841896988,0.658444985,0,0.497245951,0.635213165,0.631787147,0.663323585,0.467890597,718.0548585,FAS 151 A,b,F
0.630217043,0.430177213,1.022867488,0.86847632,0.696860481,0,0.655500591,0.670472621,0.733456464,0.829936093,0.514838677,745.6012398,FAS 145 A,b,F
0.629726944,0.430778687,1.023637888,0.833629671,0.672017917,0,0.617047627,0.656393896,0.70067731,0.798802493,0.528971778,739.2932156,FAS 145 A,b,F
0.64412549,0.942476682,0.857391812,1.514423017,0.921334681,0.752812219,0.975825895,0.931411578,1.039824984,1.209570042,0.049072887,887.0930418,FAS 182 A,b,F
0.644994868,0.926051244,0.82969667,1.195334697,0.913295931,0.614052394,0.963924899,0.882046467,1.001398294,1.189396004,0.052724903,868.0354677,FAS 182 A,b,F
0.672756621,0.537117286,1.033109863,1.053359671,0.744762064,0,0.682069891,0.772961278,0.787228022,0.927262516,0.424066325,720.7482314,FAS 186 A,b,F
0.674057839,0.539450963,1.035778346,0.956490156,0.733478775,0,0.685775937,0.68626728,0.760600524,0.862367611,0.420512183,700.5964325,FAS 186 A,b,F
0.704693206,0.536856972,1.010695251,0.8781559,0.694365006,0.754207549,0.519914615,0.720730338,0.688832594,0.787193153,0.401595866,819.9398192,FAN 129 A,b,F
0.705196044,0.536354603,1.008836255,0.792822106,0.687520943,0.670315018,0.514800898,0.711834217,0.681801737,0.75802753,0.404798289,806.7051177,FAN 129 A,b,F
0.730576319,0.57941289,0.994604362,1.051970594,0.683861368,0,0.380565162,0.603700398,0.565706852,0.501170595,0.346843547,976.3865887,FAN 162 C,b,F
0.730462436,0.578263538,0.992308251,0.907391465,0.684866131,0,0.375384978,0.579542223,0.575395339,0.504936394,0.338556758,936.8477832,FAN 162 C,b,F
0.646859425,0.475629658,1.005403575,0.964411261,0.685308937,0,0.619678593,0.694953138,0.71825907,0.827868726,0.45843047,644.7489439,FAN 163a B,b,F
0.645920446,0.478952291,1.005916934,0.862165863,0.685560629,0,0.610152062,0.640155907,0.737841077,0.811178273,0.451283636,629.6999459,FAN 163a B,b,F
0.698030349,0.505785493,1.037691649,1.211479081,0.712673668,0,0.447262761,0.704746274,0.639711384,0.602717222,0.340413084,966.2224549,FAS 189 A,b,F
0.697818904,0.504576077,1.036250671,0.940855617,0.707904215,0,0.442611019,0.675105821,0.641218381,0.58486595,0.340143054,950.2339792,FAS 189 A,b,F
0.700785936,0.472215837,0.998600815,0.914552108,0.642576305,0.346272052,0.322943212,0.638910943,0.572230652,0.544316561,0.434376626,1170.487897,FAS 195 B,b,F
0.703031681,0.470722677,0.997892314,0.842137097,0.640021317,0.293803561,0.321130325,0.60521646,0.58396128,0.53291556,0.435271505,1135.253682,FAS 195 B,b,F
0.673815559,0.426896328,0.986981518,1.105134725,0.65702418,0.465911462,0.387311999,0.601209671,0.571460928,0.488260127,0.307654464,649.1190841,FAS 203 B,b,F
0.71050577,0.425681023,0.988484363,1.064032431,0.647192328,0.449550998,0.350905211,0.613796576,0.597177764,0.47682179,0.31198287,637.9038813,FAS 203 B,b,F
0.702522719,0.390299926,1.001113157,0.969697117,0.614750471,0,0.279630692,0.460486331,0.43097033,0.283206275,0.375071794,1138.824091,FAS 206 B,b,F
0.742609176,0.389772243,1.014194794,1.06891466,0.587653406,0,0.250879124,0.485369816,0.438885383,0.292695106,0.38231865,1135.657143,FAS 206 B,b,F
0.66354514,0.496689693,1.007159771,1.479839926,0.694477502,0.395761514,0.459436631,0.638090341,0.629017304,0.624202337,0.352680879,686.424785,FAS 207 A,b,F
0.706592974,0.4964194,0.996938688,1.448413617,0.687924274,0.392937766,0.458249618,0.671862303,0.670019028,0.713856187,0.357976705,687.2869572,FAS 207 A,b,F
0.720037528,0.601740905,1.026649473,0.954204459,0.761666302,0.817403329,0.533886432,0.758709098,0.772430692,0.729245802,0.307059053,958.8526747,L5 33 A,b,F
0.759573922,0.595814722,1.009787834,0.866131439,0.752968025,0.565222727,0.523484727,0.751737079,0.745258425,0.791210763,0.309149528,930.858712,L5 33 A,b,F
0.720063334,0.473719661,1.013642277,0.890129373,0.694512068,0.240862194,0.352405476,0.578375097,0.582275297,0.386607467,0.349603778,1088.975838,L5 37 A,b,F
0.762730761,0.469770623,1.015234355,0.856307515,0.67793913,0.158349076,0,#DIV/0!,#DIV/0!,#DIV/0!,0.359344074,1024.426262,L5 37 A,b,F
0.327306291,0.232913331,0.415838068,1.73076388,0.397415266,0,0.201889189,0.360380892,0.336046904,0.277439295,0.533435806,2489.925938,FAS 156d C,b,H
0.363272153,0.225788981,0.47285687,1.555822961,0.399561162,0.145066988,0.181266681,0.334015509,0.282213053,0.214513382,0.556121218,3345.612741,FAS 128 A,b,H
0.2903092,0.160631959,0.441548816,0.387156334,0.288070711,0.252959829,0.147324741,0.215898175,0.21192458,0.155079863,0.574774666,4494.33556,FAS 83 B,b,H
0.289994716,0.160146435,0.444972301,0.236371604,0.270439936,0.391952056,0.134551673,0.220982519,0.208486872,0.153385111,0.580966635,4358.447586,FAS 83 B,b,H
0.218751308,0.065790515,0.052433427,0.077937423,0.037236025,0.038339063,0.047803166,0.074256247,0.073008851,0,1.526416802,5898.167126,FAS 156b A,b,H
0.218938267,0.0654198,0.053025651,0.064693907,0.114275628,0.030465957,0.047225324,0.07374773,0.07348676,0,1.420447369,6185.901877,FAS 156b A,b,H
0.294940154,0.211860084,0.423546017,0.365879221,0.389833845,0.116165621,0.222907859,0.326803894,0.277651126,0.288600294,0.620313598,2936.646283,FAS 148 A ,b,H
0.320349779,0.223204536,0.545406677,0.491998524,0.41817198,0.329960712,0.272177916,0.377106361,0.366018006,0.377751445,0.563976783,3142.395869,FAS 155 A,b,H
0.320702148,0.223295394,0.550714772,0.423214022,0.406002081,0.307123444,0.248836806,0.378382908,0.370034779,0.404540546,0.56828955,3119.527272,FAS 155 A,b,H
0.329767253,0.288476497,0.394409469,0.714467948,0.440357296,0,0.236297418,0.362171255,0.324148661,0.251752048,0.382152967,3249.865484,FAN 172 A,b,H
0.330009121,0.287566545,0.398546478,0.464646508,0.428659117,0,0.220927619,0.362915037,0.318222086,0.2490901,0.385280367,3250.069162,FAN 172 A,b,H
0.267120028,0.187180483,0.456317555,0.417639452,0.368751421,0,0.221605516,0.30654488,0.31634326,0.305455086,0.648352044,2822.800332,FAS 151 A,b,H
0.267325268,0.186878403,0.461992009,0.30448562,0.352970608,0.059857497,0.204730597,0.32267287,0.314124581,0.297262811,0.661556209,2767.276577,FAS 151 A,b,H
0.260703811,0.170147643,0.354374219,0.430423151,0.328626936,0.234116075,0.198867563,0.244347181,0.25162458,0.230989602,0.705452192,4192.878141,FAS 145 A,b,H
0.260983124,0.170311886,0.359790605,0.258347205,0.320031386,0.154264031,0.197383209,0.253740647,0.249517533,0.225947434,0.708824721,3938.20983,FAS 145 A,b,H
0.354364507,0.382861598,0.226765587,0.721000716,0.601692241,0,0.368380718,0.433916733,0.473331964,0.450356105,0.176412712,3064.777039,FAS 182 A,b,H
0.354106863,0.381513207,0.237035362,0.432809725,0.594252456,0,0.360188465,0.436024407,0.465587273,0.436131552,0.176137736,3040.26379,FAS 182 A,b,H
0.293696965,0.213741031,0.385382615,0.430099609,0.386865841,0.130172333,0.229124971,0.339581694,0.326714375,0.296104523,0.643001324,3889.41862,FAS 186 A,b,H
0.293695783,0.213091928,0.386358075,0.325358822,0.389849021,0.300481999,0.2238668,0.334314709,0.34407472,0.316756709,0.633672418,3770.125904,FAS 186 A,b,H
0.3307495,0.256758877,0.452000228,0.486460893,0.419939907,0.422273166,0.229292765,0.401543494,0.394003455,0.362575884,0.518316577,3162.500611,FAN 129 A,b,H
0.331856907,0.257845545,0.457420579,0.584421843,0.415739076,0.417800862,0.219656991,0.396063919,0.381278297,0.347157388,0.521566583,3064.438884,FAN 129 A,b,H
0.368514809,0.268103937,0.444611721,0.670075357,0.434260393,0.267648402,0.172186828,0.279646837,0.288832698,0.249588754,0.472226464,4189.310514,FAN 162 C,b,H
0.368396288,0.268696716,0.448013803,0.402829202,0.429031643,0.459710209,0.169806784,0.289735749,0.282308542,0.23018582,0.473976113,4013.142582,FAN 162 C,b,H
0.2550308,0.203716269,0.391096317,0.473832919,0.349463554,0,0.189207094,0.320136418,0.326428334,0.291661757,0.621381337,3207.038021,FAN 163a B,b,H
0.25503787,0.203435779,0.392245752,0.555147617,0.341458049,0.29210113,0.189152695,0.334499312,0.320733243,0.270023434,0.624534814,3242.746292,FAN 163a B,b,H
0.30923185,0.251882608,0.42512442,0.509876032,0.445016538,0.315755512,0.220529754,0.404988974,0.396856175,0.337985033,0.509790726,3632.39452,FAS 189 A,b,H
0.308509721,0.252095305,0.427200856,0.555083452,0.436647014,0.282398078,0.208681274,0.417948782,0.387544532,0.334768548,0.51427107,3631.699962,FAS 189 A,b,H
0.364843157,0.216872251,0.389812071,0.482919764,0.384075214,0.184542656,0.153859928,0.271310893,0.265204065,0.264548513,0.598864018,3964.857514,FAS 195 B,b,H
0.364861589,0.216448442,0.390706767,0.285375007,0.379850954,0.169651548,0.150920097,0.273028797,0.259513139,0.241895853,0.600230001,3834.278872,FAS 195 B,b,H
0.406894852,0.235486988,0.520977017,0.616163076,0.41546324,0,0.185856179,0.295095747,0.317036526,0.270130402,0.427344302,2234.923282,FAS 203 B,b,H
0.407024762,0.23579085,0.524731269,0.575861963,0.407878997,0,0.181165031,0.302971587,0.314648677,0.246294951,0.42625179,2199.068085,FAS 203 B,b,H
0.415082978,0.243466252,0.557224713,0.539522242,0.408106358,0,0.184117234,0.323838161,0.311572219,0.201883354,0.475807538,3676.387966,FAS 206 B,b,H
0.414722371,0.243309799,0.554984406,0.446989812,0.402859402,0,0.180561004,0.335762933,0.290302926,0.188176372,0.479887429,3649.580585,FAS 206 B,b,H
0.36988397,0.248423214,0.492216321,0.72620342,0.426270503,0.228990495,0.22545994,0.366305606,0.399410597,0.3267206,0.488094509,2597.066425,FAS 207 A,b,H
0.369853748,0.248589003,0.494567687,1.465682714,0.419318035,0.194198389,0.214682559,0.372406128,0.389095367,0.322445326,0.495265829,2558.543677,FAS 207 A,b,H
